,Actual Classifcation,Predicted Classification,a,b,c
0,1.0,1,1.0,-80.14770491803279,0.0
1,1.0,1,1.0,-13.669836065573776,0.0
2,1.0,1,1.0,18.76950819672131,0.0
3,1.0,1,1.0,19.31590163934426,0.0
4,1.0,1,1.0,-92.89688524590164,0.0
5,1.0,1,1.0,87.61508196721311,0.0
6,1.0,1,1.0,-31.882950819672146,0.0
7,1.0,1,1.0,-51.37098360655738,0.0
8,1.0,1,1.0,-25.872622950819675,0.0
9,1.0,1,1.0,-93.62540983606557,0.0
10,1.0,1,1.0,-0.5563934426229622,0.0
11,1.0,1,1.0,-16.766065573770504,0.0
12,1.0,1,1.0,93.62540983606557,0.0
13,1.0,1,1.0,-40.98950819672132,0.0
14,1.0,1,1.0,79.41918032786884,0.0
15,1.0,1,1.0,-93.44327868852459,0.0
16,1.0,5,1.0,45.90704918032786,0.0
17,1.0,1,1.0,-69.40196721311476,0.0
18,1.0,1,1.0,29.150983606557375,0.0
19,1.0,1,1.0,44.26786885245901,0.0
20,1.0,1,1.0,-94.53606557377049,0.0
21,1.0,1,1.0,-99.63573770491803,0.0
22,1.0,1,1.0,32.429344262295075,0.0
23,1.0,1,1.0,-64.84868852459016,0.0
24,1.0,1,1.0,-7.841639344262305,0.0
25,1.0,1,1.0,-50.642459016393445,0.0
26,1.0,1,1.0,-63.57377049180328,0.0
27,1.0,1,1.0,-42.99295081967214,0.0
28,1.0,1,1.0,6.202459016393441,0.0
29,1.0,1,1.0,66.85213114754099,0.0
30,1.0,1,1.0,-16.03754098360656,0.0
31,1.0,1,1.0,34.979180327868846,0.0
32,1.0,1,1.0,-28.786721311475418,0.0
33,1.0,1,1.0,88.34360655737704,0.0
34,1.0,1,1.0,36.98262295081967,0.0
35,1.0,1,1.0,70.31262295081967,0.0
36,1.0,1,1.0,-59.74901639344263,0.0
37,1.0,1,1.0,26.054754098360654,0.0
38,1.0,1,1.0,-5.473934426229519,0.0
39,1.0,1,1.0,-46.999836065573774,0.0
40,1.0,1,1.0,-42.44655737704919,0.0
41,1.0,1,1.0,-85.42950819672132,0.0
42,1.0,1,1.0,-20.772950819672147,0.0
43,1.0,1,1.0,41.17163934426229,0.0
44,1.0,1,1.0,72.1339344262295,0.0
45,1.0,1,1.0,85.4295081967213,0.0
46,1.0,1,1.0,-99.08934426229509,0.0
47,1.0,1,1.0,2.7419672131147537,0.0
48,1.0,1,1.0,-37.52901639344263,0.0
49,1.0,1,1.0,85.24737704918033,0.0
50,1.0,1,1.0,-10.937868852459033,0.0
51,1.0,1,1.0,-29.879508196721318,0.0
52,1.0,1,1.0,73.59098360655737,0.0
53,1.0,1,1.0,-12.39491803278689,0.0
54,1.0,1,1.0,-66.12360655737706,0.0
55,1.0,1,1.0,78.14426229508196,0.0
56,1.0,1,1.0,-37.16475409836066,0.0
57,1.0,1,1.0,76.6872131147541,0.0
58,1.0,1,1.0,-41.35377049180329,0.0
59,1.0,1,1.0,-90.89344262295081,0.0
60,1.0,1,1.0,33.522131147540975,0.0
61,1.0,1,1.0,-9.298688524590176,0.0
62,1.0,1,1.0,-21.68360655737706,0.0
63,1.0,1,1.0,97.45016393442623,0.0
64,1.0,1,1.0,-67.21639344262294,0.0
65,1.0,1,1.0,38.8039344262295,0.0
66,1.0,1,1.0,24.597704918032786,0.0
67,1.0,1,1.0,9.480819672131146,0.0
68,1.0,1,1.0,59.02049180327868,0.0
69,1.0,1,1.0,65.94147540983606,0.0
70,1.0,1,1.0,27.51180327868852,0.0
71,1.0,1,1.0,99.81786885245901,0.0
72,1.0,1,1.0,68.8555737704918,0.0
73,1.0,1,1.0,90.34704918032786,0.0
74,1.0,1,1.0,62.29885245901638,0.0
75,1.0,1,1.0,10.937868852459015,0.0
76,1.0,1,1.0,80.87622950819672,0.0
77,1.0,1,1.0,-67.7627868852459,0.0
78,1.0,1,1.0,-67.58065573770492,0.0
79,1.0,1,1.0,42.992950819672124,0.0
80,1.0,1,1.0,43.539344262295074,0.0
